t,est_E,est_N,err
0.00,5.118,0.034,0.036
0.50,4.951,0.362,0.042
1.00,4.938,0.902,0.025
1.50,4.883,1.208,0.039
2.00,4.687,1.704,0.058
2.50,4.600,1.928,0.041
3.00,4.427,2.303,0.061
3.50,4.103,2.693,0.048
4.00,4.068,3.078,0.063
4.50,3.785,3.355,0.100
5.00,3.420,3.520,0.131
5.50,3.150,3.886,0.195
6.00,2.876,4.116,0.247
6.50,2.482,4.300,0.350
7.00,2.126,4.472,0.389
7.50,1.671,4.797,0.468
8.00,1.430,4.775,0.527
8.50,1.009,4.840,0.612
9.00,0.622,5.008,0.671
9.50,0.094,5.005,0.667
10.00,-0.086,4.991,0.681
10.50,-0.592,5.018,0.672
11.00,-1.027,4.933,0.609
11.50,-1.249,4.828,0.537
12.00,-1.776,4.743,0.492
12.50,-2.245,4.537,0.395
13.00,-2.528,4.287,0.323
13.50,-3.001,4.090,0.267
14.00,-3.089,3.837,0.206
14.50,-3.493,3.621,0.128
15.00,-3.795,3.240,0.089
15.50,-3.922,2.875,0.081
16.00,-4.342,2.678,0.057
16.50,-4.390,2.230,0.025
17.00,-4.744,1.823,0.073
17.50,-4.789,1.609,0.046
18.00,-4.939,1.147,0.060
18.50,-4.833,0.837,0.025
19.00,-4.860,0.365,0.071
19.50,-5.023,-0.079,0.033
20.00,-4.925,-0.489,0.043
20.50,-4.948,-0.838,0.025
21.00,-4.815,-1.216,0.042
21.50,-4.795,-1.641,0.041
22.00,-4.719,-1.980,0.044
22.50,-4.553,-2.431,0.060
23.00,-4.199,-2.671,0.061
23.50,-3.840,-3.129,0.095
24.00,-3.724,-3.329,0.090
24.50,-3.500,-3.557,0.115
25.00,-3.028,-3.797,0.183
25.50,-2.824,-3.995,0.256
26.00,-2.493,-4.439,0.340
26.50,-2.126,-4.464,0.409
27.00,-1.782,-4.591,0.437
27.50,-1.413,-4.734,0.555
28.00,-1.101,-4.964,0.640
28.50,-0.568,-4.935,0.659
29.00,-0.208,-4.866,0.672
29.50,0.285,-5.101,0.688
30.00,0.577,-4.930,0.647
30.50,0.867,-4.821,0.624
31.00,1.384,-4.851,0.547
31.50,1.892,-4.634,0.501
32.00,2.117,-4.592,0.403
32.50,2.438,-4.387,0.301
33.00,2.757,-4.172,0.256
33.50,3.089,-3.860,0.202
34.00,3.443,-3.612,0.124
34.50,3.660,-3.249,0.091
35.00,4.102,-3.070,0.029
35.50,4.206,-2.682,0.078
36.00,4.435,-2.256,0.040
36.50,4.701,-1.921,0.025
37.00,4.848,-1.676,0.025
37.50,4.840,-1.150,0.041
38.00,4.958,-0.836,0.060
38.50,5.035,-0.375,0.043
39.00,4.987,0.021,0.054
39.50,4.859,0.488,0.025
40.00,4.981,0.810,0.025
40.50,4.917,1.067,0.063
41.00,4.772,1.487,0.055
41.50,4.535,2.011,0.047
42.00,4.414,2.306,0.077
42.50,4.185,2.752,0.041
43.00,3.976,3.023,0.067
43.50,3.833,3.263,0.120
44.00,3.571,3.682,0.172
44.50,3.209,3.817,0.183
45.00,2.879,3.971,0.277
45.50,2.547,4.475,0.303
46.00,2.143,4.383,0.400
46.50,1.768,4.720,0.469
47.00,1.344,4.868,0.516
47.50,0.996,4.909,0.616
48.00,0.761,4.846,0.676
48.50,0.262,5.067,0.679
49.00,-0.225,4.895,0.680
49.50,-0.636,4.869,0.685
50.00,-1.061,4.874,0.586
50.50,-1.365,4.858,0.518
51.00,-1.746,4.696,0.460
51.50,-2.244,4.574,0.369
